 variables=y,z
 zone i=         101 ,j=2,k=1,f=point
  0.000000000000000E+000  0.000000000000000E+000
  8.031395573340422E-003  7.196156842081304E-008
  1.593585130599003E-002  5.756925473665043E-007
  2.371580265256792E-002  1.942962347361952E-006
  3.137368506769319E-002  4.605540378932034E-006
  3.891193400598495E-002  8.995196052601631E-006
  4.633298492206231E-002  1.554369877889562E-005
  5.363927327054436E-002  2.468281796833887E-005
  6.083323450605020E-002  3.684432303145627E-005
  6.791730408319895E-002  5.245998337877270E-005
  7.489391745660970E-002  7.196156842081305E-005
  8.176551008090154E-002  9.578084756810214E-005
  8.853451741069361E-002  1.243495902311649E-004
  9.520337490060499E-002  1.580995658205263E-004
  0.101774518005255       1.974625437467109E-004
  0.108250382179262       2.428702934202440E-004
  0.114633402877246       2.947545842516502E-004
  0.120926015553826       3.535471856514544E-004
  0.127130655663620       4.196798670301816E-004
  0.133249758661248       4.935843977983566E-004
  0.139285760001330       5.756925473665044E-004
  0.145241095138483       6.664360851451495E-004
  0.151118199527328       7.662467805448171E-004
  0.156919508622483       8.755564029760323E-004
  0.162647457878568       9.947967218493195E-004
  0.168304482750201       1.124399506575204E-003
  0.173893018692002       1.264796526564210E-003
  0.179415501158589       1.416419551226863E-003
  0.184874365604582       1.579700349973687E-003
  0.190272047484601       1.755070692215209E-003
  0.195610982253263       1.942962347361952E-003
  0.200893605365189       2.143807084824441E-003
  0.206122352274996       2.358036674013202E-003
  0.211299658437305       2.586082884338758E-003
  0.216427959306735       2.828377485211635E-003
  0.221509690337904       3.085352246042359E-003
  0.226547286985432       3.357438936241453E-003
  0.231543184703937       3.645069325219443E-003
  0.236499818948040       3.948675182386853E-003
  0.241419625172358       4.268688277154209E-003
  0.246305038831512       4.605540378932035E-003
  0.251158495380119       4.959663257130856E-003
  0.255982430272800       5.331488681161196E-003
  0.260779278964174       5.721448420433583E-003
  0.265551476908858       6.129974244358537E-003
  0.270301459561474       6.557497922346588E-003
  0.275031662376639       7.004451223808258E-003
  0.279744520808973       7.471265918154073E-003
  0.284442470313095       7.958373774794556E-003
  0.289127946343624       8.466206563140233E-003
  0.293803384355179       8.995196052601628E-003
  0.298471219802379       9.545774012589270E-003
  0.303133888139843       1.011837221251368E-002
  0.307793824822191       1.071342242178538E-002
  0.312453465304041       1.133135640981490E-002
  0.317115245040013       1.197260594601277E-002
  0.321781543612995       1.263760934670299E-002
  0.326452746871062       1.332703854920483E-002
  0.331126749391497       1.404185741188840E-002
  0.335801288821897       1.478304818176251E-002
  0.340474102809862       1.555159310583589E-002
  0.345142929002989       1.634847443111734E-002
  0.349805505048878       1.717467440461562E-002
  0.354459568595126       1.803117527333950E-002
  0.359102857289333       1.891895928429774E-002
  0.363733108779095       1.983900868449912E-002
  0.368348060712013       2.079230572095240E-002
  0.372945450735684       2.177983264066636E-002
  0.377523016497706       2.280257169064976E-002
  0.382078495645679       2.386150511791137E-002
  0.386609625827200       2.495761516945997E-002
  0.391114144689868       2.609188409230432E-002
  0.395589789881281       2.726529413345318E-002
  0.400034299049038       2.847882753991534E-002
  0.404445409840737       2.973346655869956E-002
  0.408820859903976       3.103019343681459E-002
  0.413158386886355       3.236999042126924E-002
  0.417455728435471       3.375383975907225E-002
  0.421710622198923       3.518272369723238E-002
  0.425920805824309       3.665762448275844E-002
  0.430084016959227       3.817952436265917E-002
  0.434197993251277       3.974940558394333E-002
  0.438260472348055       4.136825039361970E-002
  0.442269191897162       4.303704103869707E-002
  0.446221889546195       4.475675976618418E-002
  0.450116302942753       4.652838882308982E-002
  0.453950169734434       4.835291045642275E-002
  0.457721227568836       5.023130691319173E-002
  0.461427214093558       5.216456044040554E-002
  0.465065866956199       5.415365328507296E-002
  0.468634923804356       5.619956769420272E-002
  0.472132122285628       5.830328591480365E-002
  0.475555200047614       6.046579019388446E-002
  0.478901894737912       6.268806277845396E-002
  0.482169944004120       6.497108591552088E-002
  0.485357085493837       6.731584185209404E-002
  0.488461056854662       6.972331283518216E-002
  0.491479595734192       7.219448111179405E-002
  0.494410439780025       7.473032892893845E-002
  0.497251326639762       7.733183853362414E-002
  0.499999993960999       7.999999217285989E-002
  3.757932693404598E-003   118.294512182381     
  3.757932693404598E-003   118.294512182381     
  1.042310259073105E-002   46.2128060158608     
  1.422006934515192E-002   36.3769467737568     
  1.808042757123878E-002   28.6442747012449     
  2.208745857416142E-002   23.0095837036728     
  2.620456277382987E-002   18.8963213974187     
  3.040072477005719E-002   15.8195025174248     
  3.465446904850970E-002   13.4564574083745     
  3.895050157553068E-002   11.5981439855572     
  4.327727055399240E-002   10.1068380073832     
  4.762553737659478E-002   8.88933599283001     
  5.198755114946738E-002   7.88079336783527     
  5.635655969364369E-002   7.03491502984934     
  6.072650949381397E-002   6.31786962352835     
  6.509185452595873E-002   5.70441492237708     
  6.944742970843872E-002   5.17536624434163     
  7.378836381581326E-002   4.71590140446249     
  7.811001711175096E-002   4.31439985137522     
  8.240793480204947E-002   3.96163105345359     
  8.667781078223225E-002   3.65017628451519     
  9.091545815722207E-002   3.37400957084815     
  9.511678422970288E-002   3.12818920748860     
  9.927776841191055E-002   2.90862740665321     
  0.103394441999988        2.71191602785034     
  0.107462869062947        2.53519314607460     
  0.111479127904283        2.37603975524110     
  0.115439292692205        2.23239898341604     
  0.119339414947418        2.10251231704206     
  0.123175504639266        1.98486881273386     
  0.126943510683931        1.87816432379951     
  0.130639300667172        1.78126852014111     
  0.134258639630030        1.69319802512471     
  0.137797167769301        1.61309439227051     
  0.141250376907416        1.54020594034603     
  0.144613585589042        1.47387268641016     
  0.147881912659923        1.41351378302586     
  0.151050249176147        1.35861699269317     
  0.154113228486707        1.30872982970485     
  0.157065194321303        1.26345207474667     
  0.159900166704452        1.22242942597326     
  0.162611805501446        1.18534809609040     
  0.165193371387738        1.15193020103506     
  0.167637684011356        1.12192981453220     
  0.169937077100966        1.09512958561896     
  0.172083350248120        1.07133783458863     
  0.174067717059681        1.05038605770550     
  0.175880749356660        1.03212678295469     
  0.177512317054756        1.01643172900937     
  0.178951523325461        1.00319022765446     
  0.180186634598425       0.992307876528527     
  0.181205004913701       0.983705394634972     
  0.181992994082955       0.977317657669322     
  0.182535879056139       0.973092894135355     
  0.182836545840972       0.970852943540013     
  0.183605052806210       0.965381775817306     
  0.186579584714977       0.944724252710411     
  0.192105831336210       0.907399533649596     
  0.198504145282619       0.865566428690243     
  0.204767132134227       0.826065829232354     
  0.210867239899296       0.788977156149518     
  0.216831147463282       0.754037243596238     
  0.222681245321630       0.721025817506152     
  0.228436375305213       0.689757469602506     
  0.234112410284813       0.660075343359072     
  0.239722712496701       0.631846119448948     
  0.245278498834854       0.604955998083314     
  0.250789134141215       0.579307453657949     
  0.256262368280292       0.554816593152102     
  0.261704528952509       0.531410990563206     
  0.267120679386143       0.509027899680253     
  0.272514747969655       0.487612769744266     
  0.277889635306709       0.467118005329502     
  0.283247302994396       0.447501924422280     
  0.288588847519961       0.428727878341265     
  0.293914561974282       0.410763504586354     
  0.299223987738688       0.393580089476824     
  0.304515957879442       0.377152021946064     
  0.309788633658229       0.361456323382995     
  0.315039535297956       0.346472241234715     
  0.320265567940006       0.332180896297645     
  0.325463043559044       0.318564975417387     
  0.330627699468659       0.305608462750773     
  0.335754713946292       0.293296403894518     
  0.340838719408626       0.281614698153937     
  0.345873813506927       0.270549914969470     
  0.350853568447587       0.260089131165055     
  0.355771038793844       0.250219786205611     
